0,1
shebang,#!
slashdot,/.
first_generation_programming_language,1gl
first_normal_form,1nf
10base_2,10b2
10base_5,10b5
10base_f,10b_f
10base_fb,10b_fb
10base_fl,10b_fl
10base_fp,10b_fp
10base_t,10b_t
100base_fx,100b_fx
100base_t,100b_t
100base_tx,100b_tx
100base_vg,100bvg
intel_80286_processor,286
2_binary_1_quaternary,2b1q
two_factor_authentication,2fa
second_generation_programming_language,2gl
second_normal_form,2nf
third_generation_programming_language,3gl
third_normal_form,3nf
intel_80386_processor,386
intel_80486_processor,486
f—4_byte_5_byte_local_fiber,4b5b
fourth_generation_programming_language,4gl
fourth_normal_form,4nf
fifth_generation_programming_language,5gl
fifth_normal_form,5nf
sixth_normal_form,6nf
8_byte_10_byte_local_fiber,8b10blf
wireless_lan,802.11
"authentication_authorization,_accounting",aaa
axis_aligned_bounding_box,aabb
advanced_audio_coding,aac
atm_adaptation_layer,aal
atm_adaptation_layer_connection,aalc
appletalk_address_resolution_protocol,aarp
attribute_based_access_control,abac
actor_based_concurrent_language,abcl
application_binary_interface,abi
asynchronous_balanced_mode,abm
area_border_router,abr
auto_baud_rate_detection,abr
available_bitrate,abr
average_bitrate,abr
acoustic_coupler,ac
alternating_current,ac
automatic_call_distributor,acd
advanced_computing_environment,ace
atomicity_consistency_isolation_durability,acid
acknowledgement,ack
amsterdam_compiler_kit,ack
access_control_list,acl
active_current_loop,acl
association_for_computing_machinery,acm
automated_classification_of_medical_entities,acme
airline_control_program,acp
advanced_configuration_and_power_interface,acpi
allowed_cell_rate,acr
attenuation_to_crosstalk_ratio,acr
active_directory,ad
administrative_domain,ad
analog_to_digital_converter,adc
apple_display_connector,adc
apple_desktop_bus,adb
advanced_data_communications_control_procedures,adccp
activex_data_objects,ado
asymmetric_digital_subscriber_line,adsl
abstract_data_type,adt
adaptive_equalizer,ae
advanced_encryption_standard,aes
anisotropic_filtering,af
apple_filing_protocol,afp
accelerated_graphics_port,agp
active_hub,ah
artificial_intelligence,ai
advanced_interactive_executive,aix
asynchronous_javascript_and_xml,ajax
active_link,al
access_list,al
apple_lossless_audio_codec,alac
algorithmic_language,algol
advanced_linux_sound_architecture,alsa
arithmetic_and_logical_unit,alu
access_method,am
active_matrix,am
active_matrix_organic_light_emitting_diode,amoled
active_monitor,am
allied_mastercomputer,am
amplitude_modulation,am
advanced_micro_devices,amd
advanced_message_queuing_protocol,amqp
audio_modem_riser,amr
artificial_neural_network,ann
american_national_standards_institute,ansi
another_neat_tool,ant
ata_over_ethernet,aoe
aspect_oriented_programming,aop
application_layer_protocol_control_information,apci
application_programming_interface,api
advanced_programmable_interrupt_controller,apic
automatic_private_ip_addressing,apipa
a_programming_language,apl
apache_portable_runtime,apr
adaptive_replacement_cache,arc
advanced_risc_computing,arc
american_registry_for_internet_numbers,arin
advanced_risc_machines,arm
aros_research_operating_system,aros
address_resolution_protocol,arp
address_and_routing_parameter_area,arpa
