0,1
user,6504502
hertz,821
binary,393249
upload,815642
shebang,7581
web log,1118
gigabit,556
kilobit,106
library,1571555
megabit,170
powerpc,781
slashdot,343
10base 2,0
10base 5,0
10base f,0
10base t,0
database,2810826
download,953796
gigabyte,5190
keyboard,208873
kilobyte,3373
kibibyte,62
megabyte,7778
netscape,435
terabyte,1761
trace on,2819
teletype,339
variable,3473165
10base fb,0
10base fl,0
10base fp,0
100base t,1
antivirus,5701
bluetooth,34450
bandwidth,33185
dot pitch,19
interface,864243
kilohertz,18
line feed,6778
megahertz,39
mini unix,1
microsoft,263288
superuser,11830
temporary,173159
trace off,34
ultra dma,0
xpinstall,83
100base fx,0
100base tx,0
100base vg,0
active hub,5
bittorrent,777
c compiler,8608
end of day,658
javascript,941825
openoffice,1488
process id,6815
postscript,2345
serial ata,4
secure ftp,56
active link,1795
access list,1188
access time,3916
common name,3289
development,406306
end of file,10708
end of line,9895
file system,78084
http secure,21
lan manager,3
motherboard,2142
open source,81157
pci express,5
region code,484
secure copy,129
virtual fat,3
wake on lan,50
wireless lan,43
binary digit,1839
backside bus,0
compact disc,17
cable select,11
disk at once,36
enhanced ide,6
gnu debugger,19
gimp toolkit,0
high density,760
input/output,7389
just in time,823
localization,23425
linux loader,22
memory stick,392
not a number,6286
no operation,1134
peer to peer,1439
parallel ata,0
ppp over atm,0
pull request,24755
run commands,3550
single ended,32
service pack,3765
secure shell,174
time to live,715
visual basic,4562
volume group,184
wake on ring,0
access method,5100
active matrix,36
access server,792
cd recordable,0
cd rewritable,0
compact flash,39
clear to send,21
drag and drop,33335
dots per inch,423
data set name,178
editor macros,14
external sata,0
globalization,2314
gnu assembler,112
it networking,31
jump non zero,0
load balancer,20524
low frequency,694
lines of code,55906
lars pensjö c,0
left to right,22707
microsoft dos,1
mail exchange,235
nt filesystem,639
out of memory,27685
public domain,1964
plug and play,732
red hat linux,70
right to left,12135
ready to send,612
symmetric dsl,0
track at once,6
truetype font,188
u.s. robotics,0
active monitor,118
bit error rate,49
bi directional,133
canonical name,708
close to metal,13
double density,31
dvd recordable,0
dvd rewritable,0
data warehouse,4105
end of message,309
end of support,94
flat assembler,41
function level,893
front side bus,13
gnu's not unix,0
high frequency,1765
knowledge base,2517
logical volume,300
microsoft edge,164
new technology,1509
nt lan manager,0
openoffice.org,570
out of the box,42340
pin grid array,0
quad data rate,1
quasar toolkit,0
remote desktop,4501
secure digital,6
single sign on,2245
true tap audio,0
text to speech,1819
user interface,29826
vesa local bus,0
virtual memory,11503
world wide web,311
cross platform,14756
average bitrate,72
acknowledgement,4364
byte order mark,1494
bits per second,330
carriage return,16775
dead on arrival,20
electronic mail,52
hard disk drive,304
hewlett packard,9
hyper threading,216
logical extents,2
list processing,344
land grid array,0
mail user agent,51
object oriented,14250
pixels per inch,509
physical volume,153
radio frequency,68
real time clock,220
system operator,36
turbo assembler,13
tex users group,0
user mode linux,14
user experience,17534
virtual reality,189
virtual machine,38395
video on demand,105
video terminal?,25
windows runtime,243
world wide name,1
acoustic coupler,1
active directory,6470
cathode ray tube,5
computer science,6476
double data rate,9
host bus adapter,5
high memory area,4
javaserver pages,1
java users group,1
linux user group,6
lempel ziv welch,0
medium frequency,6
non blocking i/o,14
operating system,74777
physical extents,6
quote of the day,81
remove directory,284
"red, green, blue",985
remote job entry,1
read only memory,425
superuser binary,4
system on a chip,15
shock wave flash,5
top level domain,1087
watcom assembler,1
zip file archive,12
first normal form,490
third normal form,345
fifth normal form,32
sixth normal form,16
available bitrate,4
allowed cell rate,0
apple desktop bus,0
audio modem riser,0
another neat tool,2
ata over ethernet,12
active terminator,0
computer graphics,958
data flow diagram,112
dennis m. ritchie,0
denial of service,860
disaster recovery,615
extended data out,0
floppy disk drive,22
file system check,47
fiber to the curb,0
fiber to the home,2
gnu pic assembler,0
gnu privacy guard,0
high availability,2456
hybrid hard drive,4
internet explorer,9475
instant messaging,895
internet protocol,238
interrupt request,238
last in first out,119
memory mapped i/o,16
microsoft network,13
netwide assembler,5
object identifier,812
open sound system,2
personal computer,1114
point of presence,10
ppp over ethernet,0
personal system/2,0
power supply unit,9
quality assurance,272
quad flat package,0
release candidate,1803
solid state drive,136
texas instruments,23
type length value,5
upper memory area,3
unix to unix copy,0
wide area network,70
year two thousand,2
zero one infinity,1
second normal form,120
fourth normal form,22
area border router,1
abstract data type,978
adaptive equalizer,0
bourne again shell,14
baseband processor,20
bootstrap protocol,1
control flow graph,345
content management,2721
common user access,0
data access object,760
digital audio tape,1
depth first search,1228
demilitarized zone,18
distinguished name,974
domain name system,52
desktop publishing,133
electronic id card,1
extended unix code,0
file control block,9
